time_stamp,volt,curr,pf,mul
1559529831897,121.3,0.05334,0.534,3.455055828
1559529831942,121.3,0.05334,0.534,3.455055828
1559529832006,121.4,0.05346,0.533,3.459193452
1559529832052,121.4,0.05346,0.533,3.459193452
1559529832098,121.4,0.05346,0.533,3.459193452
1559529832144,121.4,0.05346,0.533,3.459193452
1559529832207,121.4,0.05304,0.536,3.451334016
1559529832252,121.4,0.05304,0.536,3.451334016
1559529832299,121.4,0.05304,0.536,3.451334016
1559529832344,121.4,0.05304,0.536,3.451334016
1559529832406,121.4,0.05289,0.537,3.447994302
1559529832452,121.4,0.05289,0.537,3.447994302
1559529832498,121.4,0.05289,0.537,3.447994302
1559529832544,121.4,0.05289,0.537,3.447994302
1559529832606,121.4,0.05268,0.539,3.447094728
1559529832652,121.4,0.05268,0.539,3.447094728
1559529832698,121.4,0.05268,0.539,3.447094728
1559529832744,121.4,0.05268,0.539,3.447094728
1559529832806,121.4,0.05268,0.539,3.447094728
1559529832852,121.4,0.05268,0.539,3.447094728
1559529832898,121.4,0.05268,0.539,3.447094728
1559529832944,121.4,0.05268,0.539,3.447094728
1559529833006,121.4,0.05247,0.543,3.458832894
1559529833052,121.4,0.05247,0.543,3.458832894
1559529833098,121.4,0.05247,0.543,3.458832894
1559529833143,121.4,0.05247,0.543,3.458832894
1559529833205,121.4,0.05237,0.541,3.439525438
1559529833251,121.4,0.05237,0.541,3.439525438
1559529833296,121.4,0.05237,0.541,3.439525438
1559529833342,121.4,0.05237,0.541,3.439525438
1559529833406,121.4,0.05283,0.54,3.46332348
1559529833452,121.4,0.05283,0.54,3.46332348
1559529833498,121.4,0.05283,0.54,3.46332348
1559529833544,121.4,0.05283,0.54,3.46332348
1559529833606,121.4,0.05261,0.54,3.44890116
1559529833652,121.4,0.05261,0.54,3.44890116
1559529833698,121.4,0.05261,0.54,3.44890116
1559529833744,121.4,0.05261,0.54,3.44890116
1559529833805,121.4,0.0527,0.539,3.44840342
1559529833851,121.4,0.0527,0.539,3.44840342
1559529833897,121.4,0.0527,0.539,3.44840342
1559529833943,121.4,0.0527,0.539,3.44840342
1559529834006,121.4,0.05263,0.54,3.45021228
1559529834052,121.4,0.05263,0.54,3.45021228
1559529834097,121.4,0.05263,0.54,3.45021228
1559529834143,121.4,0.05263,0.54,3.45021228
1559529834205,121.4,0.05256,0.54,3.44562336
1559529834251,121.4,0.05256,0.54,3.44562336
1559529834297,121.4,0.05256,0.54,3.44562336
1559529834343,121.4,0.05256,0.54,3.44562336
1559529834405,121.4,0.05261,0.54,3.44890116
1559529834451,121.4,0.05261,0.54,3.44890116
1559529834496,121.4,0.05261,0.54,3.44890116
1559529834542,121.4,0.05261,0.54,3.44890116
1559529834606,121.4,0.05254,0.542,3.457068952
1559529834652,121.4,0.05254,0.542,3.457068952
1559529834698,121.4,0.05254,0.542,3.457068952
1559529834744,121.4,0.05254,0.542,3.457068952
1559529834806,121.3,0.05234,0.544,3.453770048
1559529834852,121.3,0.05234,0.544,3.453770048
1559529834898,121.3,0.05234,0.544,3.453770048
1559529834944,121.3,0.05234,0.544,3.453770048
1559529835005,121.4,0.05227,0.543,3.445648854
1559529835051,121.4,0.05227,0.543,3.445648854
1559529835098,121.4,0.05227,0.543,3.445648854
1559529835149,121.4,0.05227,0.543,3.445648854
1559529835205,121.4,0.05261,0.54,3.44890116
1559529835252,121.4,0.05261,0.54,3.44890116
1559529835298,121.4,0.05261,0.54,3.44890116
1559529835344,121.4,0.05261,0.54,3.44890116
1559529835405,121.4,0.05315,0.534,3.44558694
1559529835451,121.4,0.05315,0.534,3.44558694
1559529835497,121.4,0.05315,0.534,3.44558694
1559529835543,121.4,0.05315,0.534,3.44558694
1559529835605,121.3,0.05268,0.539,3.444255276
1559529835651,121.3,0.05268,0.539,3.444255276
1559529835697,121.3,0.05268,0.539,3.444255276
1559529835743,121.3,0.05268,0.539,3.444255276
1559529835806,121.3,0.05297,0.539,3.463215679
1559529835854,121.3,0.05297,0.539,3.463215679
1559529835901,121.3,0.05297,0.539,3.463215679
1559529835947,121.3,0.05297,0.539,3.463215679
1559529836005,121.3,0.0528,0.539,3.45210096
1559529836052,121.3,0.0528,0.539,3.45210096
1559529836098,121.3,0.0528,0.539,3.45210096
1559529836144,121.3,0.0528,0.539,3.45210096
1559529836205,121.4,0.05283,0.537,3.444082794
1559529836251,121.4,0.05283,0.537,3.444082794
1559529836297,121.4,0.05283,0.537,3.444082794
1559529836344,121.4,0.05283,0.537,3.444082794
1559529836422,121.4,0.05285,0.539,3.45821861
1559529836469,121.4,0.05285,0.539,3.45821861
1559529836516,121.4,0.05285,0.539,3.45821861
1559529836562,121.4,0.05285,0.539,3.45821861
1559529836607,121.3,0.05253,0.54,3.44082006
1559529836653,121.3,0.05253,0.54,3.44082006
1559529836699,121.3,0.05253,0.54,3.44082006
1559529836745,121.3,0.05253,0.54,3.44082006
1559529836806,121.4,0.05234,0.543,3.450263268
