cache-misses,instructions,power
686313.39,95558160.34,3.53
655880.59,92489650.23,3.53
615524.04,88420538.99,3.36
601231.03,86964024.76,3.36
603968.85,87164697.30,3.36
606148.64,87324468.08,3.36
609134.00,87543284.58,3.35
612101.81,87875206.50,3.35
621408.25,89110421.83,3.35
628789.89,90090163.67,3.35
638578.58,91389386.53,3.41
639938.17,91615062.92,3.41
627498.57,90195220.20,3.41
617274.26,89028227.92,3.41
604004.41,87513620.93,3.36
598724.08,86911726.23,3.36
598682.66,86911162.87,3.36
598649.17,86910707.28,3.36
598604.03,86910093.24,3.36
598626.19,86911428.22,3.36
598840.50,86919853.47,3.36
599018.39,86926847.30,3.36
599245.49,86935775.60,3.36
599325.64,86939757.20,3.36
599220.24,86940133.82,3.36
599134.20,86940441.25,3.36
599018.25,86940855.60,3.36
598979.98,86935908.91,3.36
599036.36,86906973.04,3.36
599081.79,86883663.00,3.36
599142.02,86852751.87,3.36
608807.54,86532335.53,3.36
663485.04,84790488.26,3.36
709502.09,83324534.96,3.36
769226.34,81421914.72,3.44
794854.00,79905807.24,3.44
790951.66,75966967.91,3.44
787651.10,72635532.75,3.44
783437.62,68382636.81,3.38
780488.57,66322839.44,3.38
774821.75,66069567.35,3.38
770105.36,65858773.81,3.38
763748.50,65574660.79,3.37
761047.70,65436488.63,3.37
762198.08,65373565.63,3.37
763152.03,65321387.31,3.37
764437.78,65251060.02,3.37
766332.83,65435526.09,3.37
774656.77,66821063.79,3.37
781528.50,67964876.89,3.37
790641.01,69481672.53,3.41
793854.33,70002677.38,3.41
786567.25,68700482.32,3.41
780411.85,67600515.88,3.41
772115.43,66117952.40,3.37
767808.99,65404904.78,3.37
765597.15,65384983.85,3.37
763718.31,65368062.15,3.37
761226.80,65345622.49,3.37
760216.78,65336577.40,3.37
762174.75,65354592.00,3.37
763830.92,65369829.94,3.37
766063.15,65390368.04,3.37
767623.09,65439001.91,3.37
770795.80,65711467.92,3.37
773521.42,65945539.03,3.37
777135.83,66255937.66,3.37
778547.21,66385231.55,3.37
774458.40,66098454.13,3.37
770959.44,65853047.08,3.37
766243.45,65522281.07,3.38
764709.42,65421035.64,3.38
771621.58,65954177.70,3.38
777626.32,66417329.13,3.38
785589.12,67031508.19,3.38
790509.11,67408897.94,3.38
787327.36,67132477.69,3.38
784360.50,66874726.50,3.38
780361.69,66527322.72,3.37
777900.19,66342751.35,3.37
779767.19,66979461.48,3.37
781519.00,67576888.26,3.37
783918.23,68395103.20,3.41
785147.98,68860826.09,3.41
780243.32,68005599.19,3.41
775513.87,67180922.44,3.41
768933.76,66033546.11,3.37
764795.10,65313521.22,3.37
764695.65,65323720.42,3.37
764600.06,65333522.97,3.37
764476.01,65346245.43,3.37
764364.06,65354214.67,3.37
763821.72,65344030.81,3.37
763308.31,65334390.28,3.37
762627.49,65321606.10,3.37
762349.41,65318064.34,3.37
767421.84,65457141.07,3.37
772299.85,65590887.46,3.37
778980.61,65774061.86,3.38
783600.90,65938539.12,3.38
787762.92,66936928.90,3.38
791747.03,67892643.55,3.38
797030.32,69160004.29,3.41
800597.09,70034844.07,3.41
792780.54,68897205.57,3.41
785167.89,67789244.01,3.41
774907.36,66295904.51,3.37
767576.32,65233147.99,3.37
766250.70,65257978.45,3.37
764978.41,65281809.84,3.37
763263.59,65313930.42,3.37
762067.73,65335397.95,3.37
762540.74,65288933.74,3.37
763002.02,65243621.58,3.37
763623.74,65182548.67,3.37
764060.67,65140210.88,3.37
763730.47,65203036.75,3.37
763406.59,65264658.73,3.37
762977.10,65346374.84,3.37
762680.86,65410404.42,3.37
772112.20,66412114.85,3.37
781517.68,67411078.85,3.37
794399.11,68779225.20,3.43
803626.47,69758072.21,3.43
797683.44,68959384.88,3.43
791782.95,68166413.35,3.43
783958.38,67114864.14,3.37
778057.89,66321892.60,3.37
776113.20,66218328.11,3.37
770577.50,65954612.54,3.37
765567.76,65715953.41,3.38
761850.86,65538883.73,3.38
762418.87,65509531.53,3.38
764580.42,65439022.71,3.38
766578.17,65373856.93,3.37
768036.85,65326275.58,3.37
775302.33,65765907.93,3.37
797695.24,67131905.45,3.37
817378.22,68332593.88,3.40
832221.13,69238031.06,3.40
829738.26,69310364.52,3.40
820346.86,69426623.31,3.40
811937.25,69530728.13,3.41
805595.58,69609233.40,3.41
801081.13,69175948.14,3.41
788292.90,67789226.51,3.41
776323.78,66491326.85,3.37
767584.42,65543654.08,3.37
766333.06,65469313.12,3.37
764189.24,65429437.09,3.37
762251.97,65393403.13,3.37
760791.08,65366229.98,3.37
761155.51,65349154.12,3.37
762816.84,65302121.77,3.37
764337.58,65259069.40,3.37
765465.87,65227127.31,3.37
766663.62,65356025.55,3.37
770118.77,65770232.54,3.37
773365.52,66159458.11,3.38
775826.77,66454516.20,3.38
779670.77,66823435.82,3.38
791284.30,67918850.49,3.38
801916.53,68921707.52,3.41
809934.28,69677960.37,3.41
806968.48,69367064.52,3.41
793418.43,67985487.11,3.41
780652.45,66683855.17,3.38
770975.02,65697134.19,3.38
769199.95,65557338.07,3.38
767433.59,65513226.49,3.38
765800.77,65472449.78,3.38
764596.23,65442368.60,3.38
766750.32,65628209.60,3.38
775009.33,66291665.12,3.38
783053.72,66937880.65,3.39
788927.41,67409720.56,3.39
788717.42,67381919.56,3.39
780763.94,66700336.13,3.39
772790.35,66017028.73,3.37
766874.46,65510058.73,3.37
761214.63,66622059.37,3.37
746391.07,71667448.09,3.37
731222.87,76830138.34,3.40
720147.68,80599721.70,3.40
709343.09,82282081.51,3.40
680652.54,84236964.59,3.40
651860.76,86198745.10,3.36
630499.12,87654259.67,3.36
622406.20,88048886.59,3.36
618070.00,87721025.55,3.36
613766.32,87395622.86,3.37
610520.91,87150237.22,3.37
609207.82,87054181.08,3.37
608662.23,87025954.57,3.37
608118.00,86997798.32,3.36
607707.60,86976565.73,3.36
607537.49,86969114.96,3.36
607468.22,86971196.12,3.36
607397.10,86973332.70,3.36
607345.49,86974883.45,3.36
607322.17,86981796.99,3.36
