freq,util,power
1200000.00,91.63,5.90
1200000.00,91.43,5.90
1200000.00,91.43,5.90
1200000.00,91.43,5.90
1200000.00,91.43,6.02
1200000.00,91.43,6.02
1200000.00,92.06,6.02
1200000.00,94.05,6.02
1200000.00,95.86,6.39
1200000.00,97.22,6.39
1200000.00,97.80,6.39
1200000.00,98.49,6.39
1200000.00,99.21,6.38
1200000.00,99.72,6.38
1200000.00,100.00,6.38
1200000.00,100.00,6.38
1200000.00,100.00,6.18
1200000.00,100.00,6.18
1200000.00,100.00,6.18
1200000.00,100.00,6.18
1200000.00,100.00,6.17
1200000.00,99.98,6.17
1200000.00,98.95,6.17
1200000.00,97.93,6.17
1200000.00,96.59,6.10
1200000.00,95.48,6.10
1200000.00,92.49,6.10
1200000.00,90.12,6.10
1200000.00,86.99,5.84
1200000.00,86.29,5.84
1200000.00,90.70,5.84
1200000.00,93.86,5.84
1200000.00,97.13,6.41
1200000.00,100.00,6.41
1200000.00,100.00,6.41
1200000.00,100.00,6.41
1200000.00,100.00,6.43
1200000.00,100.00,6.43
1200000.00,100.00,6.43
1200000.00,100.00,6.43
1200000.00,100.00,6.35
1200000.00,100.00,6.35
1200000.00,100.00,6.35
1200000.00,100.00,6.35
1200000.00,100.00,6.31
1200000.00,100.00,6.31
1200000.00,100.00,6.31
1200000.00,100.00,6.31
1200000.00,100.00,6.36
1200000.00,100.00,6.36
1200000.00,100.00,6.36
1200000.00,100.00,6.36
1200000.00,100.00,6.28
1200000.00,100.00,6.28
1200000.00,100.00,6.28
1200000.00,100.00,6.28
1200000.00,100.00,6.20
1200000.00,100.00,6.20
1200000.00,100.00,6.20
1200000.00,100.00,6.20
1200000.00,100.00,6.25
1200000.00,100.00,6.25
1200000.00,100.00,6.25
1200000.00,100.00,6.25
1200000.00,100.00,6.21
1200000.00,100.00,6.21
1200000.00,100.00,6.21
1200000.00,100.00,6.21
1200000.00,100.00,6.26
1200000.00,100.00,6.26
1200000.00,99.85,6.26
1200000.00,95.99,6.26
1200000.00,90.81,5.72
1200000.00,86.38,5.72
1200000.00,83.66,5.72
1200000.00,77.57,5.72
1200000.00,72.66,5.22
1200000.00,68.13,5.22
1200000.00,68.14,5.22
1200000.00,68.58,5.22
1200000.00,68.97,5.26
1200000.00,69.30,5.26
1200000.00,70.21,5.26
1200000.00,70.93,5.26
1200000.00,71.81,5.31
1200000.00,71.44,5.31
1200000.00,71.09,5.31
1200000.00,70.60,5.31
1200000.00,70.20,5.37
1200000.00,69.84,5.37
1200000.00,69.49,5.37
1200000.00,69.14,5.37
1200000.00,75.77,5.71
1200000.00,84.39,5.71
1200000.00,87.88,5.71
1200000.00,91.38,5.71
1200000.00,91.22,5.81
1200000.00,90.68,5.81
1200000.00,90.37,5.81
1200000.00,90.18,5.81
1200000.00,90.57,5.88
1200000.00,90.83,5.88
1200000.00,91.13,5.88
1200000.00,91.39,5.88
1200000.00,92.40,6.00
1200000.00,95.17,6.00
1200000.00,96.96,6.00
1200000.00,98.75,6.00
1200000.00,100.00,6.10
1200000.00,100.00,6.10
1200000.00,100.00,6.10
1200000.00,100.00,6.10
1200000.00,100.00,6.02
1200000.00,100.00,6.02
1200000.00,100.00,6.02
1200000.00,100.00,6.02
1200000.00,100.00,6.06
1200000.00,100.00,6.06
1200000.00,100.00,6.06
1200000.00,100.00,6.06
1200000.00,100.00,6.36
1200000.00,99.18,6.36
1200000.00,96.49,6.36
1200000.00,94.61,6.36
1200000.00,92.12,5.94
1200000.00,92.50,5.94
1200000.00,95.47,5.94
1200000.00,97.63,5.94
1200000.00,100.00,6.16
1200000.00,100.00,6.16
1200000.00,100.00,6.16
1200000.00,100.00,6.16
1200000.00,100.00,6.09
1200000.00,100.00,6.09
1200000.00,100.00,6.09
1200000.00,100.00,6.09
1200000.00,100.00,6.04
1200000.00,100.00,6.04
1200000.00,100.00,6.04
1200000.00,100.00,6.04
1200000.00,100.00,6.17
1200000.00,100.00,6.17
1200000.00,100.00,6.17
1200000.00,100.00,6.17
1200000.00,100.00,6.24
1200000.00,100.00,6.24
1200000.00,100.00,6.24
1200000.00,100.00,6.24
1200000.00,100.00,6.10
1200000.00,100.00,6.10
1200000.00,100.00,6.10
1200000.00,100.00,6.10
1200000.00,100.00,6.02
1200000.00,100.00,6.02
1200000.00,100.00,6.02
1200000.00,100.00,6.02
1200000.00,100.00,6.07
1200000.00,100.00,6.07
1200000.00,100.00,6.07
1200000.00,100.00,6.07
1200000.00,100.00,6.00
1200000.00,100.00,6.00
1200000.00,100.00,6.00
1200000.00,100.00,6.00
1200000.00,100.00,5.96
1200000.00,100.00,5.96
1200000.00,100.00,5.96
1200000.00,100.00,5.96
1200000.00,100.00,5.94
1200000.00,99.86,5.94
1200000.00,99.17,5.94
1200000.00,98.62,5.94
1200000.00,97.90,5.53
1200000.00,96.11,5.53
1200000.00,87.74,5.53
1200000.00,80.78,5.53
1200000.00,71.66,4.93
1200000.00,71.48,4.93
1200000.00,71.62,4.93
1200000.00,71.72,4.93
1200000.00,71.83,4.86
1200000.00,71.89,4.86
1200000.00,71.93,4.86
1200000.00,71.98,4.86
1200000.00,72.02,4.86
1200000.00,72.11,4.86
1200000.00,72.17,4.86
1200000.00,72.24,4.86
1200000.00,72.61,5.18
1200000.00,74.99,5.18
1200000.00,77.12,5.18
1200000.00,79.44,5.18
1200000.00,79.21,5.06
1200000.00,76.40,5.06
1200000.00,74.40,5.06
1200000.00,72.56,5.06
1200000.00,71.45,5.24
1200000.00,70.66,5.24
1200000.00,69.88,5.24
1200000.00,69.79,5.24
1200000.00,70.20,4.99
1200000.00,70.44,4.99
1200000.00,70.49,4.99
1200000.00,69.88,4.99
1200000.00,68.86,5.07
1200000.00,68.74,5.07
1200000.00,69.11,5.07
1200000.00,69.39,5.07
1200000.00,69.68,5.23
1200000.00,69.63,5.23
1200000.00,69.41,5.23
1200000.00,69.26,5.23
1200000.00,69.13,5.20
1200000.00,69.76,5.20
1200000.00,70.39,5.20
1200000.00,71.08,5.20
1200000.00,71.21,5.07
1200000.00,70.35,5.07
1200000.00,69.71,5.07
1200000.00,69.15,5.07
1200000.00,70.64,5.06
1200000.00,71.54,5.06
1200000.00,71.88,5.06
1200000.00,70.71,5.06
1200000.00,69.74,4.98
1200000.00,68.79,4.98
1200000.00,68.88,4.98
1200000.00,69.63,4.98
1200000.00,70.15,5.00
1200000.00,70.57,5.00
1200000.00,70.31,5.00
1200000.00,70.07,5.00
1200000.00,69.78,5.26
1200000.00,69.70,5.26
1200000.00,69.70,5.26
1200000.00,69.70,5.26
1200000.00,69.69,5.27
1200000.00,69.64,5.27
1200000.00,69.60,5.27
1200000.00,69.57,5.27
1200000.00,69.58,5.28
1200000.00,69.64,5.28
1200000.00,69.67,5.28
1200000.00,69.74,5.28
1200000.00,70.12,5.22
1200000.00,70.37,5.22
1200000.00,70.57,5.22
1200000.00,70.32,5.22
1200000.00,70.00,5.15
1200000.00,69.77,5.15
1200000.00,69.59,5.15
1200000.00,69.19,5.15
1200000.00,68.83,5.24
1200000.00,68.70,5.24
1200000.00,68.89,5.24
1200000.00,69.05,5.24
1200000.00,69.23,5.29
1200000.00,69.36,5.29
1200000.00,69.49,5.29
1200000.00,69.61,5.29
1200000.00,69.74,5.27
1200000.00,69.90,5.27
1200000.00,70.03,5.27
1200000.00,70.15,5.27
1200000.00,70.15,5.27
1200000.00,70.15,5.27
1200000.00,70.15,5.27
1200000.00,69.99,5.27
1200000.00,69.33,5.16
1200000.00,68.93,5.16
1200000.00,68.92,5.16
1200000.00,70.29,5.16
1200000.00,71.61,5.15
1200000.00,72.73,5.15
1200000.00,72.04,5.15
1200000.00,69.39,5.15
1200000.00,66.87,5.01
1200000.00,66.52,5.01
1200000.00,68.05,5.01
1200000.00,69.23,5.01
1200000.00,70.55,5.06
1200000.00,70.15,5.06
1200000.00,69.91,5.06
1200000.00,69.70,5.06
1200000.00,69.83,5.05
1200000.00,69.99,5.05
1200000.00,70.11,5.05
1200000.00,70.04,5.05
1200000.00,69.65,4.92
1200000.00,69.36,4.92
1200000.00,69.14,4.92
1200000.00,69.44,4.92
1200000.00,69.76,4.73
1200000.00,70.04,4.73
1200000.00,70.15,4.73
1200000.00,70.15,4.73
1200000.00,70.15,4.83
1200000.00,70.18,4.83
1200000.00,70.37,4.83
1200000.00,70.65,4.83
1200000.00,70.76,4.86
1200000.00,70.70,4.86
1200000.00,70.65,4.86
1200000.00,70.60,4.86
1200000.00,70.41,4.86
1200000.00,69.73,4.86
1200000.00,69.23,4.86
1200000.00,68.72,4.86
1200000.00,69.08,4.98
1200000.00,70.23,4.98
1200000.00,70.95,4.98
1200000.00,71.45,4.98
1200000.00,71.61,5.06
1200000.00,71.74,5.06
1200000.00,71.68,5.06
1200000.00,70.66,5.06
1200000.00,69.80,5.16
1200000.00,68.96,5.16
1200000.00,68.62,5.16
1200000.00,68.47,5.16
1200000.00,68.32,5.27
1200000.00,68.37,5.27
1200000.00,69.13,5.27
1200000.00,69.76,5.27
1200000.00,70.59,5.32
1200000.00,70.53,5.32
1200000.00,70.47,5.32
1200000.00,70.41,5.32
1200000.00,70.31,5.29
1200000.00,70.26,5.29
1200000.00,70.20,5.29
1200000.00,70.14,5.29
1200000.00,69.79,5.29
1200000.00,69.50,5.29
1200000.00,69.20,5.29
1200000.00,69.18,5.29
1200000.00,69.44,5.18
1200000.00,69.60,5.18
1200000.00,69.72,5.18
1200000.00,69.87,5.18
1200000.00,70.03,5.23
1200000.00,70.15,5.23
1200000.00,70.02,5.23
1200000.00,69.85,5.23
1200000.00,69.72,5.30
1200000.00,69.79,5.30
1200000.00,70.14,5.30
1200000.00,70.38,5.30
1200000.00,70.51,5.27
1200000.00,70.06,5.27
1200000.00,69.69,5.27
1200000.00,69.32,5.27
1200000.00,69.14,5.23
1200000.00,68.89,5.23
1200000.00,68.72,5.23
1200000.00,68.78,5.23
1200000.00,69.40,5.13
1200000.00,69.81,5.13
1200000.00,70.27,5.13
1200000.00,70.80,5.13
1200000.00,71.20,5.06
1200000.00,71.60,5.06
1200000.00,71.40,5.06
1200000.00,70.61,5.06
1200000.00,69.95,5.06
1200000.00,69.73,5.06
1200000.00,69.87,5.06
1200000.00,69.98,5.06
1200000.00,70.13,5.02
1200000.00,70.23,5.02
1200000.00,70.49,5.02
1200000.00,70.67,5.02
1200000.00,70.65,5.06
1200000.00,70.16,5.06
1200000.00,69.84,5.06
1200000.00,69.82,5.06
1200000.00,70.41,5.04
1200000.00,70.88,5.04
1200000.00,71.34,5.04
1200000.00,71.08,5.04
1200000.00,69.86,4.82
1200000.00,69.00,4.82
1200000.00,68.30,4.82
1200000.00,68.98,4.82
1200000.00,69.83,4.89
1200000.00,70.46,4.89
1200000.00,70.66,4.89
1200000.00,71.00,4.89
1200000.00,71.17,5.29
1200000.00,71.10,5.29
1200000.00,70.69,5.29
1200000.00,70.40,5.29
1200000.00,70.13,5.24
1200000.00,69.82,5.24
1200000.00,69.53,5.24
1200000.00,69.24,5.24
1200000.00,69.07,5.24
1200000.00,68.93,5.24
1200000.00,68.83,5.24
1200000.00,68.77,5.24
1200000.00,69.12,5.20
1200000.00,69.36,5.20
1200000.00,69.69,5.20
1200000.00,69.51,5.20
1200000.00,69.33,5.11
1200000.00,69.16,5.11
1200000.00,69.22,5.11
